"2020 Greater Los Angeles Homeless Count - Data Summary                                                                 
Total Point-In-Time Homeless Population by Geographic Areas","","","",""
"Geographic Area","Sheltered","Unsheltered","Total","Total Percent 
Change 2019-2020"
"Los Angeles County","18,395","48,041","66,436","13%"
"City of Los Angeles","12,438","28,852","41,290","16%"
